id,text,label
1,"Software Engineer position at TechCorp. 3+ years Python experience required. Competitive salary $80-120k. Apply with resume and cover letter to careers@techcorp.com",legitimate
2,"URGENT! Make $5000/month working from home. Just send $200 processing fee via WhatsApp +1234567890. No experience needed!",scam
3,"Marketing Manager role at StartupXYZ. MBA preferred. $70-90k salary. Send resume to hr@startupxyz.com. Office located downtown.",legitimate
4,"Data Scientist position. PhD in CS/Stats required. Work with Fortune 500 clients. Salary negotiable. Apply at jobs@datasci.com",legitimate
5,"Easy money! Earn $10000 monthly! Call now 555-SCAM-123. Send $500 for training materials. Work from anywhere!",scam
6,"Frontend Developer needed. React, Vue experience. Remote friendly. $60-80k. Apply through our website careers.webdev.com",legitimate
7,"Personal Assistant job. Transfer money for boss. Send $300 for background check to account #12345. Very urgent!",scam
8,"Product Manager at FinTech startup. 5+ years experience. Stock options available. Email resume to pm@fintech.io",legitimate
9,"Customer Service Rep. No qualifications needed. Earn 100000+ per month! Contact via Telegram @scammer123",scam
10,"DevOps Engineer position. AWS/Docker skills required. $90-110k salary. Benefits included. Apply to devops@company.com",legitimate
11,"Virtual Assistant role. Handle payments for clients. Send processing fee $400. Very legitimate opportunity!",scam
12,"UX Designer wanted. Portfolio required. $65-85k salary. Health insurance provided. Contact design@agency.com",legitimate
13,"Work from home data entry. Earn massive income! Send $250 registration fee via WhatsApp. Start immediately!",scam
14,"Business Analyst position. SQL, Excel skills needed. $75-95k salary. Apply with resume to analyst@corp.com",legitimate
15,"Administrative Assistant. Process payments daily. Pay $350 for software access. High earning potential guaranteed!",scam
16,"Mobile Developer role. iOS/Android experience. $70-100k salary. Flexible hours. Apply at mobile@techstart.com",legitimate
17,"Online survey job. Make thousands weekly! Send money for account setup $199. Work flexible hours from home!",scam
18,"Sales Manager position. B2B experience preferred. Commission + base salary. Apply to sales@company.net",legitimate
19,"Virtual bookkeeper needed. Handle client funds. Send $450 processing fee. Earn big money from home daily!",scam
20,"Quality Assurance Engineer. Testing experience required. $60-80k salary. Apply to qa@software.com",legitimate
21,"Receptionist position at medical office. Good communication skills needed. $35k salary. Apply to office@clinic.com",legitimate
22,"Easy online work! Copy and paste job. Send $300 for training. Earn $8000 monthly guaranteed! Call now!",scam
23,"Technical Writer needed. Strong writing skills required. $50-70k salary. Remote work available. Apply to writer@tech.com",legitimate
24,"Mystery shopper job. Get paid to shop! Send $200 for starter kit via bank transfer. Flexible schedule!",scam
25,"HR Coordinator role. HRCI certification preferred. $45-60k salary. Benefits package included. Apply to hr@business.com",legitimate
26,"Social Media Manager position. Content creation experience. $40-55k salary. Apply with portfolio to social@brand.com",legitimate
27,"Investment opportunity! Double your money! Send $1000 processing fee. Guaranteed returns! Contact WhatsApp only!",scam
28,"Network Administrator needed. CCNA certification required. $65-85k salary. Apply to network@enterprise.com",legitimate
29,"Personal shopper job. Use your credit card for purchases. Send $500 for verification. High commissions paid!",scam
30,"Graphic Designer position. Adobe Creative Suite required. $45-65k salary. Apply with portfolio to design@studio.com",legitimate
31,"Warehouse Associate needed. Physical work required. $30k salary plus benefits. Apply to warehouse@logistics.com",legitimate
32,"Online tutoring job. Make huge money teaching! Send $400 for certification. Work from home comfort!",scam
33,"Database Administrator role. MySQL, PostgreSQL experience. $80-100k salary. Apply to dba@database.com",legitimate
34,"Email processing job. Forward emails daily. Send $350 for email software. Earn thousands per week!",scam
35,"Accountant position. CPA required. Tax season experience preferred. $60-80k salary. Apply to accounting@firm.com",legitimate
36,"Content Writer needed. SEO knowledge preferred. $35-50k salary. Remote work possible. Apply to content@media.com",legitimate
37,"Payment processor job. Handle client transfers. Pay $600 for security clearance. Make big money fast!",scam
38,"Systems Administrator position. Linux experience required. $70-90k salary. Apply to sysadmin@tech.com",legitimate
39,"Survey coordinator role. Easy money making! Send processing fee $450. Earn $15000 monthly working from home!",scam
40,"Project Manager needed. PMP certification preferred. $85-105k salary. Apply to pm@consulting.com",legitimate
41,"Secretary position at law firm. Legal experience helpful. $40k salary plus benefits. Apply to legal@lawfirm.com",legitimate
42,"Cash handling job. Process payments for company. Send $550 for bonding. Guaranteed high income daily!",scam
43,"Web Developer position. Full-stack experience required. $75-95k salary. Apply to dev@webapp.com",legitimate
44,"Investment processing role. Handle client funds. Pay $700 registration fee. Earn massive commissions!",scam
45,"Marketing Coordinator needed. Digital marketing experience. $45-60k salary. Apply to marketing@agency.com",legitimate
46,"Insurance Sales Representative. License required. Commission based salary. Apply to insurance@company.com",legitimate
47,"Money transfer agent. Process wire transfers. Send $800 for licensing. Work from home and earn big!",scam
48,"IT Support Specialist needed. Help desk experience preferred. $45-60k salary. Apply to support@it.com",legitimate
49,"Package forwarding job. Receive and forward packages. Send $400 for supplies. Easy home based work!",scam
50,"Research Analyst position. Market research experience. $55-75k salary. Apply to research@analytics.com",legitimate
51,"Operations Manager role at manufacturing company. 5+ years experience. $80-100k salary. Apply to ops@manufacturing.com",legitimate
52,"Online advertising job. Post ads daily. Send $250 for ad credits. Earn $5000 weekly from home!",scam
53,"Customer Success Manager needed. SaaS experience preferred. $65-85k salary. Apply to success@saas.com",legitimate
54,"Check processing clerk. Deposit checks for clients. Pay $350 for check scanner. High paying opportunity!",scam
55,"Supply Chain Analyst position. Logistics experience required. $60-80k salary. Apply to supply@logistics.com",legitimate
56,"Financial Advisor role. Series 7 license required. Commission + salary. Apply to advisor@financial.com",legitimate
57,"Online moderator job. Monitor forums daily. Send $200 for access codes. Work flexible hours from home!",scam
58,"Brand Manager position. Consumer goods experience. $70-90k salary. Apply to brand@consumer.com",legitimate
59,"Currency exchange agent. Handle forex trades. Send $900 for trading account. Guaranteed profits daily!",scam
60,"Training Coordinator needed. Adult education experience. $50-65k salary. Apply to training@education.com",legitimate
61,"Engineering Manager position at aerospace company. 10+ years experience. $120-150k salary. Apply to eng@aerospace.com",legitimate
62,"Assembly line worker needed. No experience required. $25k salary plus overtime. Apply to factory@manufacturing.com",legitimate
63,"Bitcoin investment job. Trade cryptocurrency. Send $1200 for trading bot. Make millions trading online!",scam
64,"Compliance Officer role. Regulatory experience required. $75-95k salary. Apply to compliance@bank.com",legitimate
65,"Gift card processing job. Activate gift cards. Send $300 for activation codes. Easy money from home!",scam
66,"Event Coordinator position. Hospitality experience preferred. $40-55k salary. Apply to events@hospitality.com",legitimate
67,"Tax preparation specialist. Tax software experience. Seasonal work available. Apply to tax@accounting.com",legitimate
68,"Money counting job. Count cash for businesses. Pay $450 for cash counter. Work part-time from home!",scam
69,"Business Development Manager. Sales experience required. $80-120k salary. Apply to bizdev@growth.com",legitimate
70,"Online gaming job. Test new games. Send $350 for gaming setup. Get paid to play games daily!",scam
71,"Procurement Specialist needed. Vendor management experience. $65-80k salary. Apply to procurement@supply.com",legitimate
72,"Real Estate Agent position. License required. Commission based. High earning potential. Apply to realestate@property.com",legitimate
73,"Package inspection job. Inspect packages at home. Send $400 for inspection tools. Easy work, good pay!",scam
74,"Treasury Analyst role. Financial modeling experience. $70-90k salary. Apply to treasury@finance.com",legitimate
75,"Online casino dealer. Deal cards virtually. Send $500 for dealer training. Work from home casino!",scam
76,"Public Relations Specialist. Media relations experience. $50-70k salary. Apply to pr@communications.com",legitimate
77,"Facilities Manager position. Building maintenance experience. $60-75k salary. Apply to facilities@property.com",legitimate
78,"Cryptocurrency mining job. Mine digital coins. Send $800 for mining software. Passive income opportunity!",scam
79,"Risk Management Analyst needed. Insurance experience preferred. $65-85k salary. Apply to risk@insurance.com",legitimate
80,"Lottery processing clerk. Process winning tickets. Pay $600 for processing system. Handle millions daily!",scam
81,"Interior Designer position. Design portfolio required. $45-65k salary. Apply to design@interior.com",legitimate
82,"Security Guard needed. Security license preferred. $30k salary plus benefits. Apply to security@guard.com",legitimate
83,"Online pharmacy job. Process prescriptions. Send $700 for pharmacy license. Medical knowledge not required!",scam
84,"Supply Chain Manager role. Logistics experience required. $85-105k salary. Apply to scm@logistics.com",legitimate
85,"Money laundering specialist. Clean dirty money. Send $1000 for cleaning supplies. Very confidential work!",scam
86,"Technical Support Engineer. Customer service experience. $55-70k salary. Apply to tech@support.com",legitimate
87,"Investment Banking Analyst. Finance degree required. $100-140k salary. Apply to ib@bank.com",legitimate
88,"Online slot machine operator. Operate virtual slots. Send $450 for slot software. Work from casino!",scam
89,"Product Marketing Manager. B2B marketing experience. $75-95k salary. Apply to product@marketing.com",legitimate
90,"Diamond investment broker. Buy and sell diamonds. Pay $1500 for diamond kit. Millionaire opportunity!",scam
91,"Logistics Coordinator position. Shipping experience helpful. $40-55k salary. Apply to logistics@shipping.com",legitimate
92,"Construction Manager needed. Construction experience required. $80-100k salary. Apply to construction@build.com",legitimate
93,"Forex trading assistant. Execute trades daily. Send $600 for trading platform. Make money trading currencies!",scam
94,"Human Resources Manager. HR experience required. $70-90k salary. Benefits included. Apply to hr@company.com",legitimate
95,"Online banking job. Process online transactions. Send $550 for banking software. Handle customer accounts!",scam
96,"Sales Director position. Leadership experience required. $100-130k salary. Apply to sales@enterprise.com",legitimate
97,"Credit Repair Specialist. Financial services experience. $45-60k salary. Apply to credit@financial.com",legitimate
98,"Precious metals trader. Buy and sell gold. Pay $800 for trading account. Guaranteed profits in metals!",scam
99,"Operations Director role. Multi-location management experience. $110-140k salary. Apply to operations@corp.com",legitimate
100,"Money printing job. Print money at home. Send $900 for printing press. Legal money making opportunity!",scam
101,"Software Architect position. 10+ years development experience. $120-160k salary. Apply to architect@software.com",legitimate
102,"Medical Billing Specialist. Healthcare experience preferred. $35-45k salary. Apply to billing@healthcare.com",legitimate
103,"Investment fund manager. Manage client portfolios. Send $1200 for fund setup. Guaranteed high returns!",scam
104,"Digital Marketing Manager. SEO/SEM experience required. $60-80k salary. Apply to digital@marketing.com",legitimate
105,"Online auction helper. Bid on auctions. Send $400 for bidding software. Win valuable items daily!",scam
106,"Financial Analyst position. CFA preferred. Excel modeling required. $65-85k salary. Apply to analyst@finance.com",legitimate
107,"Maintenance Technician needed. Mechanical experience required. $40k salary plus benefits. Apply to maintenance@facility.com",legitimate
108,"Cryptocurrency consultant. Advise on crypto investments. Pay $700 for consultant certification. Expert income!",scam
109,"Regional Sales Manager. Territory management experience. $90-120k salary. Apply to regional@sales.com",legitimate
110,"Online survey manager. Manage survey responses. Send $300 for survey software. Easy management job!",scam
111,"Creative Director position. Agency experience required. $80-110k salary. Apply to creative@agency.com",legitimate
112,"Pharmacy Technician role. Pharmacy experience preferred. $30-40k salary. Apply to pharmacy@drugstore.com",legitimate
113,"Binary options trader. Trade binary options. Send $650 for trading system. Guaranteed winning trades!",scam
114,"Change Management Consultant. Organizational development experience. $85-115k salary. Apply to change@consulting.com",legitimate
115,"Online sweepstakes coordinator. Coordinate prize drawings. Pay $450 for coordination software. Manage millions in prizes!",scam
116,"Environmental Engineer needed. Environmental science degree. $70-90k salary. Apply to environmental@engineering.com",legitimate
117,"Bank Teller position. Customer service experience. $28k salary plus benefits. Apply to teller@bank.com",legitimate
118,"Options trading specialist. Trade stock options. Send $750 for options platform. Professional trader income!",scam
119,"Vendor Manager role. Procurement experience required. $70-85k salary. Apply to vendor@procurement.com",legitimate
120,"Money order processor. Process money orders. Pay $500 for processing equipment. Handle thousands daily!",scam
121,"Chief Technology Officer position. Technology leadership experience. $150-200k salary. Apply to cto@startup.com",legitimate
122,"Receptionist needed at dental office. Front desk experience. $25k salary. Apply to reception@dental.com",legitimate
123,"Commodities trader job. Trade agricultural products. Send $850 for trading access. Profit from food markets!",scam
